original_word,renamed_word
K8S_NODE_IP_FOR_DEEPFLOW,K8S_NODE_IP_FOR_DEEPFLOW
flow所属deepflow平台的资源组,flow所属deepflow平台的资源组
deepflow-agent-config,deepflow-agent-config
DeepFlow-Server-Controller,DeepFlow-Server-Controller
deepflow_server_monitor_disk,deepflow_server_monitor_disk
deepflow_system_custom_field,deepflow_system_custom_field
DeepFlow抽象出的资源,DeepFlow抽象出的资源
DeepFlow,DeepFlow
到达DeepFlow流量分发交换机下一跳MAC,到达DeepFlow流量分发交换机下一跳MAC
deepflow_stats,deepflow_stats
DeepflowServerInstances,DeepflowServerInstances
appendDeepFlowPrefix,appendDeepFlowPrefix
deepflow_agent_flow_aggr,deepflow_agent_flow_aggr
yunshan-deepflow,yunshan-deepflow
EPC_FROM_DEEPFLOW,EPC_FROM_DEEPFLOW
deepflow-clickhouse,deepflow-clickhouse
DeepFlowServerInstanceInfo,DeepFlowServerInstanceInfo
deepflow-agent_,deepflow-agent_
deepflow_server_controller,deepflow_server_controller
removeDeepFlowPrefix,removeDeepFlowPrefix
查询DEEPFLOW添加的WAN监控网段,查询DEEPFLOW添加的WAN监控网段
deepflow-config,deepflow-config
Deepflow-agent,Deepflow-agent
PortInDeepflowExporter,PortInDeepflowExporter
deepflow-aget,deepflow-aget
deepflow-agent-standalone,deepflow-agent-standalone
deepflow-agents,deepflow-agents
deepflow_server_ingester_ckwriter,deepflow_server_ingester_ckwriter
deepflow-ebpfctl,deepflow-ebpfctl
deepflow-ce,deepflow-ce
deepflow_agent_dispatcher,deepflow_agent_dispatcher
deepflow-agent,deepflow-agent
deepflow-domain,deepflow-domain
deepflow-agent-ee,deepflow-agent-ee
deepflow-app,deepflow-app
_deepflow_,_deepflow_
isDeepFlowTag,isDeepFlowTag
deepflow-servers,deepflow-servers
namespace-deepflow,namespace-deepflow
deepflow_system__deepflow_agent_monitor__create_time,deepflow_system__deepflow_agent_monitor__create_time
deepflow_system_common,deepflow_system_common
